ids,context_name,context_typology,chronology,funerary_function,context_id,Morphology,Functional_class,Region
ACQRSS_0001,Acquarossa,Settlement,EIA2,,363,Open shape,Class 1,Etruria
ALTR_CNL_0003,Alatri - Canale,Settlement,FBA,,386,Open shape,Class 1,Latium
ANGN_SNT_CECL_0001,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0002,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0003,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0004,Anagni - Santa Cecilia,Cultual,OP,,528,Open shape,Class 1,Latium
ANGN_SNT_CECL_0005,Anagni - Santa Cecilia,Cultual,OP,,528,Open shape,Class 1,Latium
ANGN_SNT_CECL_0006,Anagni - Santa Cecilia,Cultual,OP,,528,Open shape,Class 1,Latium
ANGN_SNT_CECL_0007,Anagni - Santa Cecilia,Cultual,OP,,528,Open shape,Class 1,Latium
ANGN_SNT_CECL_0008,Anagni - Santa Cecilia,Cultual,OP,,528,Open shape,Class 1,Latium
ANGN_SNT_CECL_0096,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0097,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0098,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0099,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0100,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0101,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0102,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0103,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0104,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0105,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0106,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0107,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0108,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
ANGN_SNT_CECL_0109,Anagni - Santa Cecilia,Cultual,OP,,528,Closed shape,Class 4,Latium
